Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,Note
Dasilas A.,"Dasilas, Apostolos (14631724100)",14631724100,ESG scores and cost of capital: evidence from the UK,2025,EuroMed Journal of Business,,,,,,2,10.1108/EMJB-03-2025-0100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014803926&doi=10.1108%2FEMJB-03-2025-0100&partnerID=40&md5=22878c392c1c9d6779f39aab2c3d4578,"University of Macedonia, Thessaloniki, Greece","Dasilas A., University of Macedonia, Thessaloniki, Greece","Purpose This study examines the impact of ESG scores on the cost of capital, utilizing ESG ratings from 115 UK companies listed on the FTSE 350 between 2019 and 2023. Design/methodology/approach The study applied static panel data linear regressions, and the data for 115 UK companies listed on the FTSE 350 were collected from the LSEG Datastream. Findings The empirical results reveal a significant positive relationship between ESG scores and the cost of capital, as measured by the cost of equity, cost of debt and WACC. Additionally, the results show that ESG scores are positively correlated with beta, suggesting that companies with high ESG performance may increase systematic risk, possibly due to the challenges of integrating ESG into corporate strategies. Practical implications These findings are particularly relevant for managers, shareholders and policymakers. In particular, the study highlights whether ESG practices lead to lower financial risk or impose short-term capital costs, thereby assisting firms in aligning their sustainability goals with financial performance. Originality/value This article is motivated by the low number of studies that examine the impact of ESG scores on the cost of capital and systematic risk and contributes to the academic literature on ESG by considering the European Union’s Corporate Sustainability Reporting Directive (CSRD). © 2025 Emerald Publishing Limited",Cost of capital; ESG; FTSE 350; Systematic risk; WACC,,,,Emerald Publishing,14502194,,,,English,EuroMed Journal of Business,Article,Article in press,,Scopus,2-s2.0-105014803926,
Apergis N.; Poufinas T.; Antonopoulos A.,"Apergis, Nicholas (6701803017); Poufinas, Thomas (24341890600); Antonopoulos, Alexandros (57814755100)",6701803017; 24341890600; 57814755100,ESG scores and cost of debt,2022,Energy Economics,112,,106186,,,286,10.1016/j.eneco.2022.106186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134672837&doi=10.1016%2Fj.eneco.2022.106186&partnerID=40&md5=a74f2e1808b8ff82d282c8b7702bc3bb,"Department of Banking and Financial Management, University of Piraeus, Greece; Department of Economics, Democritus University of Thrace, Greece","Apergis N., Department of Banking and Financial Management, University of Piraeus, Greece; Poufinas T., Department of Economics, Democritus University of Thrace, Greece; Antonopoulos A., Department of Economics, Democritus University of Thrace, Greece","As sustainable investing becomes central to capital allocation in many markets, the Environmental, Social and Governance (ESG) metrics and scores have become of critical importance. This study aims to analyze the relation between the cost of debt and ESG scores. We provide evidence that the cost of debt for borrowing firms is associated with their ESG score/rating. Firms that have low ESG scores are considered to be riskier, in the sense that they are exposed to liabilities related to Environmental, Social and Corporate factors that ultimately increase their probability of default. In case of a bankruptcy unsecured bondholders' claims may be subordinate to those liabilities. Using a framework for evaluating ESG performance developed by Refinitiv, this study investigates whether firms within S&P 500 over the period 2010–2019 that exhibit strong ESG scores benefit from lower bond spreads and better bond ratings relative to firms with weaker ESG scores. After controlling for other risk characteristics our analysis points that better ESG rating is associated with lower cost of unsecured debt in the primary bond market. Our findings are consistent over the aggregate metric and all E,S, and G pillars. Furthermore, they support the ongoing calls for improved transparency, which would allow for the reporting of quantifiable ESG information in firms' disclosures. © 2022",Cost of debt; Environmental; ESG scores/ratings; Governance; Social,"Commerce; Cost benefit analysis; Risk analysis; Capital allocation; Corporates; Cost of debt; Environmental; Environmental, social and governance score/rating; Exposed to; Governance; Performance; Probability of defaults; Social; bankruptcy; capital; debt; investment; liability; Risk assessment","T. Poufinas; Department of Economics, Democritus University of Thrace, Greece; email: tpoufina@econ.duth.gr",,Elsevier B.V.,1409883,,EECOD,,English,Energy Econ.,Article,Final,,Scopus,2-s2.0-85134672837,
Alves C.F.; Meneses L.L.,"Alves, Carlos Francisco (15831421200); Meneses, Lilian Lima (58546580900)",15831421200; 58546580900,"ESG scores and debt costs: Exploring indebtedness, agency costs, and financial system impact",2024,International Review of Financial Analysis,94,,103240,,,70,10.1016/j.irfa.2024.103240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189456120&doi=10.1016%2Fj.irfa.2024.103240&partnerID=40&md5=b7085005a2c7d765a4d529734cfc04ba,"Faculdade de Economia, CEF.UP, Universidade do Porto, Rua Dr. Roberto Frias, Porto, 4200-464, Portugal; Faculdade de Economia da Universidade do Porto, Rua Dr. Roberto Frias, Porto, 4200-464, Portugal","Alves C.F., Faculdade de Economia, CEF.UP, Universidade do Porto, Rua Dr. Roberto Frias, Porto, 4200-464, Portugal; Meneses L.L., Faculdade de Economia da Universidade do Porto, Rua Dr. Roberto Frias, Porto, 4200-464, Portugal","This paper provides evidence that conventional risk measures (Merton Distance to Default, Altman Z-Score, Z-Score and Volatility) fail to capture all the relevant information to assess borrower risk. Moreover, the paper shows that the additional information contained in ESG scores has a negative relationship with the cost of debt, and this relationship is economically significant. In addition, companies whose sustainability generates major concerns (i.e., the most indebted companies and those with the highest agency costs) benefit the most from ESG performance. Finally, the paper provides evidence that the return on companies' ESG efforts in terms of the cost of debt is higher in countries with bank-based financial systems, where long-term relationships between lenders and borrowers prevail, than in countries with market-based financial systems. © 2024 The Authors",Cost of debt; Default risk; ESG; Risk metrics; Stakeholder orientation,,"C.F. Alves; Faculdade de Economia, CEF.UP, Universidade do Porto, Porto, Rua Dr. Roberto Frias, 4200-464, Portugal; email: calves@fep.up.pt",,Elsevier Inc.,10575219,,,,English,Int. Rev. Financ. Anal.,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85189456120,
Jang G.-Y.; Kang H.-G.; Lee J.-Y.; Bae K.,"Jang, Ga-Young (57216824896); Kang, Hyoung-Goo (53868160900); Lee, Ju-Yeong (57216832287); Bae, Kyounghun (57200194436)",57216824896; 53868160900; 57216832287; 57200194436,ESG scores and the credit market,2020,Sustainability (Switzerland),12,8,3456,,,80,10.3390/SU12083456,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084820130&doi=10.3390%2FSU12083456&partnerID=40&md5=2d71e78d7b09e229d672b9e621992f45,"Department of Finance, Hanyang University Business School, Seoul, 04763, South Korea","Jang G.-Y., Department of Finance, Hanyang University Business School, Seoul, 04763, South Korea; Kang H.-G., Department of Finance, Hanyang University Business School, Seoul, 04763, South Korea; Lee J.-Y., Department of Finance, Hanyang University Business School, Seoul, 04763, South Korea; Bae K., Department of Finance, Hanyang University Business School, Seoul, 04763, South Korea","This study analyzes the relationship between Environmental, Social and Governance (ESG) scores and bond returns using the corporate bond data in Korea during the period of 2010 to 2015. We find that ESG scores include valuable information about the downside risk of firms. This effect is particularly salient for the firms with high information asymmetry such as small firms. Interestingly, of the three ESG criteria, only environmental scores show a significant impact on bond returns when interacted with the firm size, suggesting that high environmental scores lower the cost of debt financing for small firms. Finally, ESG is complementary to credit ratings in assessing credit quality as credit ratings cannot explain away ESG effects in predicting future bond returns. This result suggests that credit rating agencies should either integrate ESG scores into their current rating process or produce separate ESG scores which bond investors integrate with the existing credit ratings by themselves. © 2020 by the authors.",,Korea; corporate strategy; credit provision; debt; firm size; risk assessment; small and medium-sized enterprise,"H.-G. Kang; Department of Finance, Hanyang University Business School, Seoul, 04763, South Korea; email: hyoungkang@ehanyang.ac.kr",,MDPI,20711050,,,,English,Sustainability,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85084820130,
de Carvalho P.L.; da Martins O.S.; Callado A.L.C.; de Junior A.D.C.,"de Carvalho, Patrícia Lacerda (57193750641); da Martins, Orleans Silva (60400386100); Callado, Aldo Leonardo Cunha (56310232600); de Junior, Antonio Deusany Carvalho (60400658000)",57193750641; 60400386100; 56310232600; 60400658000,"Evidence on environmental, social and governance practices associated with the cost of capital of companies in the capital markets in G20 countries",2024,RAE Revista de Administracao de Empresas,65,1,,,,2,10.1590/S0034-759020250108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030238503&doi=10.1590%2FS0034-759020250108&partnerID=40&md5=e7bb3600887ed8b804b0ae5cd318505a,"Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; Insper, Departamento de Engenharia da Computação, SP, São Paulo, Brazil","de Carvalho P.L., Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; da Martins O.S., Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; Callado A.L.C., Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; de Junior A.D.C., Insper, Departamento de Engenharia da Computação, SP, São Paulo, Brazil","This study examines the relationship between environmental, social, and governance (ESG) practices and the costs of equity and debt capital in 19 G20 countries, excluding the European Union. Using panel data from 3,651 companies between 2005 and 2021, the ESG scores from Refinitiv (ESG performance) and Bloomberg (ESG disclosure) were applied. The results show a negative and significant relationship between ESG practices and companies’ cost of capital, suggesting that engagement in ESG activities lowers financing costs. Additionally, there is no perfect correlation between ESG performance and ESG disclosure scores, indicating that these metrics capture distinct aspects of corporate sustainability. This study highlights the strategic importance of ESG practices in influencing the cost of capital and emphasizes the need to use distinct metrics to assess the different dimensions of corporate sustainability. © 2025, Fundacao Getulio Vargas. All rights reserved.",cost of capital; cost of debt; cost of equity; ESG; G20,,"P.L. de Carvalho; Universidade Federal da Paraíba, Departamento de Administração, João Pessoa, PB,, Brazil; email: patricialacerdac@gmail.com",,Fundacao Getulio Vargas,347590,,,,English,RAE Rev. Adm. Empresas,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105030238503,
Al Barrak T.; Chebbi K.; Aljughaiman A.A.; Albarrak M.,"Al Barrak, Thamir (58476320600); Chebbi, Kaouther (57201781419); Aljughaiman, Abdullah A. (8364836700); Albarrak, Mohammed (57208001988)",58476320600; 57201781419; 8364836700; 57208001988,Exploring the Interplay between Sustainability and Debt Costs in an Emerging Market: Does Financial Distress Matter?,2023,Sustainability (Switzerland),15,12,9273,,,17,10.3390/su15129273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164169655&doi=10.3390%2Fsu15129273&partnerID=40&md5=7a710599c5adee37c34f8fa2cf7ef917,"Accounting Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia","Al Barrak T., Accounting Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Chebbi K., Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Aljughaiman A.A., Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Albarrak M., Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia","Embracing corporate sustainability has emerged as a crucial strategy for companies to bolster their competitive edge and reputation. This research delves into the connection between environmental, social, and governance practices (ESG) and the cost of debt, as well as the moderating role of financial distress within this connection. By analyzing data from Saudi-listed firms between 2013 and 2021, we discovered that ESG practices have a notable negative impact on borrowing costs. This implies that organizations with increased transparency in their ESG disclosure gain access to external financial resources under more favorable terms. Additionally, we observed that the effect of ESG on the cost of debt is significantly and negatively moderated by the financial distress encountered by a firm. To bolster the credibility of these findings, dynamic generalized method of moments (GMM) models were utilized to address any potential endogeneity concerns, thereby enhancing the strength and resilience of the outcomes. The findings of this paper hold substantial value for investors, lenders, corporate management, and policymakers when considering the implementation and significance of a company’s ESG practices. © 2023 by the authors.",cost of debt; emerging market; ESG; financial distress; sustainability,debt; exploration; financial system; policy making; sustainability,"M. Albarrak; Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; email: malbarrak@kfu.edu.sa",,Multidisciplinary Digital Publishing Institute (MDPI),20711050,,,,English,Sustainability,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85164169655,
Raimo N.; Caragnano A.; Zito M.; Vitolla F.; Mariani M.,"Raimo, Nicola (57206728937); Caragnano, Alessandra (57217055914); Zito, Marianna (57217058140); Vitolla, Filippo (56422376800); Mariani, Massimo (57191646634)",57206728937; 57217055914; 57217058140; 56422376800; 57191646634,Extending the benefits of ESG disclosure: The effect on the cost of debt financing,2021,Corporate Social Responsibility and Environmental Management,28,4,,1412,1421,434,10.1002/csr.2134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102275018&doi=10.1002%2Fcsr.2134&partnerID=40&md5=4057e68219eb9f859920b66d05e44904,"Department of Management, Finance and Technology, LUM University, Casamassima, Italy","Raimo N., Department of Management, Finance and Technology, LUM University, Casamassima, Italy; Caragnano A., Department of Management, Finance and Technology, LUM University, Casamassima, Italy; Zito M., Department of Management, Finance and Technology, LUM University, Casamassima, Italy; Vitolla F., Department of Management, Finance and Technology, LUM University, Casamassima, Italy; Mariani M., Department of Management, Finance and Technology, LUM University, Casamassima, Italy","In recent years, greater attention has been paid to sustainability issues. Companies have received increasing pressure from stakeholders to adopt sustainable behavior and provide an adequate representation of sustainability practices. Nonfinancial disclosure has thus taken on a crucial role. In the academic field, several researchers have analyzed the effects of nonfinancial disclosure. However, limited attention has been paid to the impact of nonfinancial information on the cost of debt. This study aims at bridging this gap by analyzing the effect of ESG disclosure on the cost of debt. The fixed effects analysis conducted on a sample of 8264 observations (an unbalanced panel data of 919 firms for the period 2010–2019), shows a negative effect of the ESG disclosure on the cost of debt financing. The results demonstrate that companies with greater levels of transparency in the dissemination of ESG information benefit from accessing third party financial resources at better conditions. © 2021 ERP Environment and John Wiley & Sons Ltd.",cost of debt; disclosure; ESG disclosure; nonfinancial information,,"F. Vitolla; Department of Management, Finance and Technology, LUM University, Casamassima, Italy; email: vitolla@lum.it",,John Wiley and Sons Ltd,15353958,,,,English,Corp. Soc. Responsib. Environ. Manage.,Article,Final,,Scopus,2-s2.0-85102275018,
Sahu N.C.; Mahanta A.; Jena N.R.,"Sahu, Naresh Chandra (39962581300); Mahanta, Abhisek (59330430400); Jena, Nihar Ranjan (57211804888)",39962581300; 59330430400; 57211804888,From corporate responsibility to corporate sustainability: A study of how ESG mitigates corporate default risk using serial mediation analysis,2026,Global Finance Journal,69,,101225,,,0,10.1016/j.gfj.2025.101225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022923767&doi=10.1016%2Fj.gfj.2025.101225&partnerID=40&md5=b7164e1aecd0a5d51fd7e74d21fce5ec,"School of Humanities, Social Sciences, and Management, Indian Institute of Technology Bhubaneswar, Odisha, 752050, India","Sahu N.C., School of Humanities, Social Sciences, and Management, Indian Institute of Technology Bhubaneswar, Odisha, 752050, India; Mahanta A., School of Humanities, Social Sciences, and Management, Indian Institute of Technology Bhubaneswar, Odisha, 752050, India; Jena N.R., School of Humanities, Social Sciences, and Management, Indian Institute of Technology Bhubaneswar, Odisha, 752050, India","This study investigates how Environmental, Social, and Governance (ESG) performance is linked to the corporate default risk. Using listed Indian firms from 2016 to 2024, this study finds that ESG performance and its individual dimensions are negatively related to default risk via improved Altman Z-score. The advanced serial mediation analysis using the PROCESS model 6 suggests that ESG information is transmitted to lower default risk via enhanced corporate efficiency (CEF), improved financial performance indicated by return on assets (ROA), and lowered the cost of borrowing indicated by the cost of debt (COD). Applying the Propensity Score Matching (PSM) and Difference-in-Difference (DID) technique, this study also documents that firms that are part of the NIFTY100ESG index have significantly better financial resilience than companies not part of the index after the COVID-19 crisis. Through ex-post analysis in the case of defaulted firms, this study finds that ESG performance can predict corporate default events if combined with other parameters effectively. The findings supported by the legitimacy theory indicate that firms can increase corporate sustainability and legitimacy not only through improvements in corporate efficiency and profitability but also through external perceptions, responsibility, and ethical practices, which function as an ‘insurance effect’. Thus, policymakers should encourage lenders to integrate ESG factors into business models and promote sustainable business practices to reduce financial risks. This will accelerate the firms' adoption of cleaner technologies, enhance governance standards, and strengthen overall financial stability and corporate sustainability. © 2025 Elsevier Inc.",Corporate default risk; Corporate efficiency; Corporate sustainability; COVID-19; ESG; Serial mediation analysis,,"A. Mahanta; School of Humanities, Social Sciences, and Management, Indian Institute of Technology Bhubaneswar, Odisha, 752050, India; email: s22hs09003@iitbbs.ac.in",,Elsevier B.V.,10440283,,,,English,Global Financ. J.,Article,Final,,Scopus,2-s2.0-105022923767,
Li W.; Hu H.; Hong Z.,"Li, Weihao (57565184700); Hu, Hongbing (57565184800); Hong, Zekun (57565774800)",57565184700; 57565184800; 57565774800,"Green finance policy, ESG rating, and cost of debt——Evidence from China",2024,International Review of Financial Analysis,92,,103051,,,122,10.1016/j.irfa.2023.103051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181094378&doi=10.1016%2Fj.irfa.2023.103051&partnerID=40&md5=6315d6d3fc8954b8b87c11aa4e25bb6b,"School of Economics and Management, Tsinghua University, Beijing, China; School of Finance, Zhongnan University of Economics and Law, Wuhan, China; CUHK Business School, The Chinese University of Hong Kong, Hong Kong","Li W., School of Economics and Management, Tsinghua University, Beijing, China; Hu H., School of Finance, Zhongnan University of Economics and Law, Wuhan, China; Hong Z., CUHK Business School, The Chinese University of Hong Kong, Hong Kong","Climate change is causing increasing uncertainty for countries' economic growth and carbon emission control has become a global consensus. The People's Bank of China introduced a green finance policy (GFP) in the third quarter of 2017, which incorporates green finance into the Macro-Prudential Assessment (MPA) framework it has developed to assess commercial banks. Using the difference-in-differences (DID) methodology and data from 2440 Chinese A-share listed enterprises, we find that companies with higher ESG ratings experienced a significant decrease in their costs of debt (Cod) after the promulgation of this policy. Moreover, among the specific dimensions of ESG scores, Environmental scores have a more significant impact on corporates' Cod compared with those of Social and Governance. Further analysis also shows that the Cod of firms that are big-sized, state-owned, or from non-heavily-polluting industries decrease more significantly after the proposal of this GFP. These findings are relevant for subsequent revisions of the GFP and inspiring for industrial transformation and green finance system in both China and the world. © 2023",Cost of debt; ESG; Green finance,,"H. Hu; School of Finance, Zhongnan University of Economics and Law, Wuhan, No.182 Nanhu Avenue, Hongshan District, Hubei, 430073, China; email: hongbinghu@zuel.edu.cn",,Elsevier Inc.,10575219,,,,English,Int. Rev. Financ. Anal.,Article,Final,,Scopus,2-s2.0-85181094378,
Rossi M.; Capasso A.; Solak I.; Jarrar H.; Salloum C.,"Rossi, Matteo (53264843300); Capasso, Arturo (55443973100); Solak, Ilkay (59955750000); Jarrar, Hajer (57170671800); Salloum, Charbel (53878411200)",53264843300; 55443973100; 59955750000; 57170671800; 53878411200,"Green scores, golden returns: ESG’s role in shaping SME financial outcomes",2025,Review of Accounting and Finance,24,5,,619,639,4,10.1108/RAF-10-2024-0468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008735864&doi=10.1108%2FRAF-10-2024-0468&partnerID=40&md5=21823ed887cd6dabc06fe3a39c25f912,"Department of Law Economics Management and Quantitative Methods, University of Sannio, Benevento, Italy; Department of Law Economics Management and Quantitative Methods, University of Sannio, Benevento, Italy; CERIIM – Research Center in Managerial Intelligence and Innovation, Excelia Business School, La Rochelle, France; Métis Lab, EM Normandie Business School, Normandie, France","Rossi M., Department of Law Economics Management and Quantitative Methods, University of Sannio, Benevento, Italy; Capasso A., Department of Law Economics Management and Quantitative Methods, University of Sannio, Benevento, Italy; Solak I., Department of Law Economics Management and Quantitative Methods, University of Sannio, Benevento, Italy; Jarrar H., CERIIM – Research Center in Managerial Intelligence and Innovation, Excelia Business School, La Rochelle, France; Salloum C., Métis Lab, EM Normandie Business School, Normandie, France","Purpose – The purpose of this study is to examine the effect of Environmental, Social and Governance (ESG) performance on the financial outcomes and cost of capital in small and medium-sized enterprises (SMEs). Design/methodology/approach – Using a data set of 227 SMEs from 2015 to 2020, this research uses multiple linear regression to assess the relationship between ESG scores, financial performance (Return on Assets and Return on Equity) and capital structure (weighted average cost of capital, cost of equity and cost of debt). Findings – Higher ESG scores are linked to improved financial performance and reduced cost of capital, showing that ESG practices positively influence SMEs’ financial health. Research limitations/implications – This study is limited to SMEs in specific regions and a five-year time frame. Future research could broaden the analysis across different regions or industries. Practical implications – Managers should prioritize ESG initiatives to enhance profitability and reduce financing costs. Investors can use ESG scores to better assess SME investment risk. Social implications – By integrating ESG practices, SMEs contribute to broader societal goals such as environmental sustainability and social responsibility, benefiting both stakeholders and communities. Originality/value – This research uniquely focuses on the often-underexplored SME sector, providing fresh insights into how ESG strategies can improve financial outcomes and optimize capital costs. © 2025 Emerald Publishing Limited",Cost of capital; ESG; Financial performance; SMEs,,,,Emerald Publishing,14757702,,,,English,Rev. Account.Financ.,Article,Final,,Scopus,2-s2.0-105008735864,
Lavin J.F.; Montecinos-Pearce A.A.,"Lavin, Jaime F. (57191333265); Montecinos-Pearce, Alejandro A. (57200694537)",57191333265; 57200694537,Heterogeneous Firms and Benefits of ESG Disclosure: Cost of Debt Financing in an Emerging Market,2022,Sustainability (Switzerland),14,23,15760,,,33,10.3390/su142315760,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143828529&doi=10.3390%2Fsu142315760&partnerID=40&md5=1ad3ccbb418d0a508ef6a250ad168ac5,"Escuela de Negocios, Universidad Adolfo Ibáñez, Av. Diagonal Las Torres 2700, Santiago, 7941169, Chile; Universidad Adolfo Ibáñez, Av. Padre Hurtado 750, Viña del Mar, 7561046, Chile","Lavin J.F., Escuela de Negocios, Universidad Adolfo Ibáñez, Av. Diagonal Las Torres 2700, Santiago, 7941169, Chile; Montecinos-Pearce A.A., Universidad Adolfo Ibáñez, Av. Padre Hurtado 750, Viña del Mar, 7561046, Chile","Current challenging environments pressure firms to improve their overall ESG performance. However, there is tension between the benefits of ESG disclosure and firm performance. We deepen the understanding of ESG disclosure’s contribution to firms’ cost of debt in an emerging economy context. This issue is critical in Latin America–a region with reduced financing, ample company heterogeneity, and scarce evidence associating ESG disclosure and firms’ debt financing. Using fixed effects models, for the 2015–2020 period, we study Chilean listed firms. We explore two association channels between ESG disclosure and the cost of debt financing. Through a direct channel, greater disclosure relates to a lower cost; however, through an indirect channel, disclosure interacts with growth opportunities–a proxy for firms’ prospective risk–and greater disclosure relates to a higher cost. Hence, evidence suggests that ESG disclosure affects the cost of financing in two opposite directions. Our results delve into how ESG disclosure encloses essential economic implications, particularly in countries that have recently adopted ESG practices: For regulators, on developing rules of ESG disclosure that consider their financial effects; for firms, on enhancing their ESG communications policies; and finally, for creditors, on the need to introduce ESG indicators in their financing decision-making. © 2022 by the authors.",debt financing; emerging markets; ESG disclosure; firm performance; Latin America,Latin America; debt; economic analysis; financial provision; firm size,"J.F. Lavin; Escuela de Negocios, Universidad Adolfo Ibáñez, Santiago, Av. Diagonal Las Torres 2700, 7941169, Chile; email: jaime.lavin@uai.cl",,MDPI,20711050,,,,English,Sustainability,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85143828529,
Hampl F.; Vágnerová Linnertová D.,"Hampl, Filip (57214755653); Vágnerová Linnertová, Dagmar (55320789000)",57214755653; 55320789000,How do ESG controversies moderate the nexus between ESG performance and cost of capital? Evidence from European listed companies,2024,Managerial Finance,50,10,,1727,1746,16,10.1108/MF-12-2023-0762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200054627&doi=10.1108%2FMF-12-2023-0762&partnerID=40&md5=4b265f1490352bba7349c56729570194,"Department of Finance, Faculty of Economics and Administration, Masaryk University, Brno, Czech Republic","Hampl F., Department of Finance, Faculty of Economics and Administration, Masaryk University, Brno, Czech Republic; Vágnerová Linnertová D., Department of Finance, Faculty of Economics and Administration, Masaryk University, Brno, Czech Republic","Purpose: This study aims to investigate the effect of ESG controversies and their moderating role in ESG performance and the cost of equity and overall, short-term and long-term debt capital relationship in European listed companies. Design/methodology/approach: The study employs two-way fixed effects panel linear regression models on the balanced longitudinal dataset of 231 European non-financial companies listed in the MSCI Europe Index in 2017–2022. To check the robustness, the study utilises the fixed effects logistic regression models with heteroskedasticity-consistent standard errors. Findings: The study reveals the significant effect of ESG performance (negative) and ESG controversies (negative) on the cost of debt capital and the substantial moderating effect of ESG controversies (positive). Additionally, it provides empirical evidence of the crossover moderating effect of ESG controversies in ESG performance and cost of equity relationship. Research limitations/implications: The findings contribute to corporate practice and empirically support legitimacy and stakeholder theories. Practical implications: Companies can utilise the results to proactively enhance their internal policies and behaviour to align with ESG practices and avoid ESG controversies, which will translate into reduced equity capital costs for shareholders and a lower cost of debt capital charged by creditors. Originality/value: To the best of the authors’ knowledge, this is the first study to comprehensively investigate the influence of ESG controversies and their moderating effect in the context of the equity and debt capital cost for European listed companies. © 2024, Emerald Publishing Limited.",Controversies; Cost of debt; Cost of equity; ESG performance; Financing cost,,"F. Hampl; Department of Finance, Faculty of Economics and Administration, Masaryk University, Brno, Czech Republic; email: filip.hampl@econ.muni.cz",,Emerald Publishing,3074358,,,,English,Manag. Financ.,Article,Final,,Scopus,2-s2.0-85200054627,
Aleknevičienė V.; Stralkutė S.,"Aleknevičienė, Vilija (56024346700); Stralkutė, Sandra (58515351000)",56024346700; 58515351000,Impact of corporate social responsibility on cost of debt in Scandinavian public companies,2023,Oeconomia Copernicana,14,2,,585,608,16,10.24136/oc.2023.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166341155&doi=10.24136%2Foc.2023.016&partnerID=40&md5=aaf5cce0ae1eba34f56553746e39e5af,"Vytautas Magnus University, Lithuania","Aleknevičienė V., Vytautas Magnus University, Lithuania; Stralkutė S., Vytautas Magnus University, Lithuania","Research background: In recent decades, companies have paid increasing attention to corporate social responsibility (CSR) and its related performance. Scandinavian countries lead the world in CSR and sustainability. The good CSR performance of Scandinavian companies has motivated studies on this phenomenon, particularly on the connection between a company’s CSR and its performance. One of the most important performance indicators and value driv-ers is the cost of debt. Purpose of the article: This study assessed the impact of CSR on the cost of debt in Scandinavian public companies. Methods: The research was divided into two stages. In the first stage, Scandinavian public companies were divided into two groups (with and without ESG (environmental, social, governance) disclosure scores) to reveal differences in the cost of debt. In the second stage, a fixed-effects regression model for balanced panel data sets was applied from 2011 to 2020 to assess the impact of ESG and its pillars on the cost of debt. Findings & value added: The results revealed that the cost of debt of companies in Scandinavian countries with ESG disclosure scores was significantly lower. The ESG disclosure scores of these companies have increased significantly over the past 10 years. We found a positive impact of CSR on the cost of debt in Scandinavian public companies. The increase in ESG disclosure and pillar scores reduced the cost of debt. These findings are valuable from a scientific perspective. Scandinavian public companies with ESG scores have higher financial risk, but lower cost of debt. These results support the importance of investors’ behavior, information asymmetry, and signaling. The findings have several implications for shareholders, managers and creditors. They suggest that creditors consider ESG disclosures when determining a borrower’s creditworthiness. Additionally, it is a message to regulators that the debt market values ESG disclosures. © Instytut Badań Gospodarczych / Institute of Economic Research (Poland).",corporate social responsibility; cost of debt; ESG disclosure pillars; ESG disclosure score,,"V. Aleknevičienė; Vytautas Magnus University, Lithuania; email: vilija.alekneviciene@vdu.lt",,Institute of Economic Research,20831277,,,,English,Oecon.  Copernic,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85166341155,
